,index,player,team,type,shot_outcome,shot_body_part,shot_type,location,shot_statsbomb_xg
1273,2920,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Blocked,Right Foot,Free Kick,"[95.0, 55.0]",0.039962333
1274,2921,José Miguel da Rocha Fonte,Portugal,Shot,Blocked,Right Foot,Open Play,"[100.0, 39.0]",0.04448955
1275,2922,Kléper Laveran Lima Ferreira,Portugal,Shot,Off T,Head,Open Play,"[114.0, 35.0]",0.057879645
1276,2923,André Miguel Valente Silva,Portugal,Shot,Wayward,Head,Open Play,"[103.0, 34.0]",0.02940368
1277,2924,Ramin Rezaeian,Iran,Shot,Off T,Right Foot,Free Kick,"[93.0, 23.0]",0.03309399
1278,2925,José Miguel da Rocha Fonte,Portugal,Shot,Wayward,Head,Open Play,"[117.0, 50.0]",0.02778431
1279,2926,Saeid Ezatolahi Afagh,Iran,Shot,Saved,Head,Open Play,"[109.0, 47.0]",0.046653
1280,2927,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Saved,Right Foot,Open Play,"[83.0, 34.0]",0.012714876
1281,2928,Ricardo Andrade Quaresma Bernardo,Portugal,Shot,Off T,Right Foot,Open Play,"[112.0, 55.0]",0.03576757
1282,2929,Ricardo Andrade Quaresma Bernardo,Portugal,Shot,Goal,Right Foot,Open Play,"[102.0, 58.0]",0.0123060765
1283,2930,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Saved,Right Foot,Penalty,"[108.0, 40.0]",0.76
1284,2931,Sardar Azmoun,Iran,Shot,Wayward,Head,Open Play,"[111.0, 36.0]",0.03299182
1285,2932,Raphaël Adelino José Guerreiro,Portugal,Shot,Blocked,Left Foot,Open Play,"[93.0, 30.0]",0.029522885
1286,2933,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Off T,Right Foot,Open Play,"[97.0, 35.0]",0.031095896
1287,2934,Adrien Sebastian Perruchet Silva,Portugal,Shot,Off T,Right Foot,Open Play,"[96.0, 24.0]",0.017586734
1288,2935,Saman Ghoddos,Iran,Shot,Off T,Right Foot,Open Play,"[98.0, 38.0]",0.052727155
1289,2936,André Miguel Valente Silva,Portugal,Shot,Off T,Right Foot,Open Play,"[95.0, 51.0]",0.031515997
1290,2937,Sardar Azmoun,Iran,Shot,Blocked,Head,Open Play,"[113.0, 32.0]",0.03155883
1291,2938,Karim Ansarifard,Iran,Shot,Goal,Right Foot,Penalty,"[109.0, 41.0]",0.76
1292,2939,Saman Ghoddos,Iran,Shot,Blocked,Right Foot,Open Play,"[97.0, 45.0]",0.0259604
1293,2940,Mehdi Taremi,Iran,Shot,Off T,Left Foot,Open Play,"[113.0, 33.0]",0.35391924
1294,3495,Edgar Yoel Bárcenas Herrera,Panama,Shot,Off T,Right Foot,Open Play,"[81.0, 40.0]",0.007365972
1295,3496,Aníbal Cesis Godoy,Panama,Shot,Off T,Left Foot,Open Play,"[102.0, 32.0]",0.13451067
1296,3497,John Stones,England,Shot,Goal,Head,Open Play,"[109.0, 42.0]",0.07512671
1297,3498,Edgar Yoel Bárcenas Herrera,Panama,Shot,Off T,Left Foot,Open Play,"[96.0, 49.0]",0.02824812
